KPI,Building_1,Building_10,Building_11,Building_12,Building_13,Building_14,Building_15,Building_16,Building_17,Building_2,Building_3,Building_4,Building_5,Building_6,Building_7,Building_8,Building_9,District
building_battery_health_capacity_fade_business_as_usual_ratio,0.0007995179107317396,0.0006069892429740043,0.0004584134703936038,0.00032566066254721693,0.000568625585675997,0.00033377958325447876,1.3442697649468371e-07,0.0007248748851586273,0.0005891217789512349,0.0005486195229299773,0.0005180423162194636,0.0006375688610014973,0.0007155367378033906,0.0005219419576264761,0.0006739815315896791,0.0007172164489373245,0.0006417397963712212,
building_battery_health_capacity_fade_delta_to_business_as_usual_ratio,-0.000530728271045805,-0.0003554009372629119,-0.00027275094811068934,-0.00016205001413124864,-0.00034637366128492664,-0.00018909395875843504,-1.3442697649468371e-07,-0.0004718248634363875,-0.00036396587089121413,-0.0003417539366391831,-0.0003013119696468336,-0.00038337975986915684,-0.00044662953209664846,-0.00031064775386641097,-0.0004270876435170934,-0.000463262435944356,-0.0004211392107648926,
building_battery_health_capacity_fade_ratio,0.0002687896396859346,0.00025158830571109236,0.00018566252228291447,0.00016361064841596829,0.00022225192439107033,0.00014468562449604372,0.0,0.0002530500217222398,0.00022515590806002073,0.0002068655862907942,0.00021673034657263002,0.0002541891011323405,0.0002689072057067421,0.00021129420376006514,0.0002468938880725857,0.0002539540129929685,0.00022060058560632867,
building_battery_health_equivalent_full_cycles_business_as_usual_count,79.9199407082051,60.68055872339755,45.83086316008121,32.56078903214075,56.846421661321074,33.3724022883689,0.013442697236314416,72.46126892277971,58.89486874511931,54.84693243924994,51.79084204341052,63.73662214318756,71.52816103363875,52.18060145562049,67.37552818027325,71.69596946216188,64.15342737804167,
building_battery_health_equivalent_full_cycles_count,26.875368655055354,25.155679738818435,18.56453755968687,16.35973395936162,22.222734056194895,14.467521922852029,0.0,25.30181334273948,22.513067293330096,20.684428805725474,21.670696637156652,25.41569240449462,26.887120925384806,21.12719835487951,24.68635512763285,25.39218943209562,22.057636001372884,
building_battery_health_equivalent_full_cycles_delta_to_business_as_usual_count,-53.04457205314975,-35.52487898457912,-27.26632560039434,-16.201055072779127,-34.62368760512618,-18.904880365516874,-0.013442697236314416,-47.15945558004023,-36.381801451789215,-34.162503633524466,-30.12014540625387,-38.32092973869294,-44.64104010825395,-31.05340310074098,-42.6891730526404,-46.303780030066264,-42.095791376668785,
building_battery_ratio_to_business_as_usual_capacity_fade_ratio,0.33618964138018037,0.4144856084737357,0.4050110528460269,0.5023961050016186,0.39085811470627274,0.43347655685019276,1.0,0.3490947567687682,0.3821890755097313,0.3770656669051812,0.4183641756416175,0.3986849369228268,0.37581187869158755,0.4048231813378687,0.3663214442838696,0.3540828063400437,0.34375394334859033,
building_battery_ratio_to_business_as_usual_charge_ratio,0.34493304089619287,0.4242919854084895,0.4095093650777441,0.5151131139612852,0.393992916109132,0.43939879455936787,0.0,0.35481172075883155,0.3901351683143631,0.38151776424422457,0.42266441704318514,0.4067207616418647,0.38540547542709197,0.40914927563096937,0.37557125461162605,0.3583003939077908,0.3480273587488266,
building_battery_ratio_to_business_as_usual_discharge_ratio,0.3263451612179087,0.40312444846042556,0.3995828476051315,0.4873129306654281,0.3872709315667801,0.42635709335146355,1.0,0.3424407692367352,0.37283670837420946,0.3718052060358362,0.41326462539222963,0.38950962579604176,0.36497277421830665,0.39977447762333623,0.35593099831936353,0.3491366572193696,0.338817508850928,
building_battery_ratio_to_business_as_usual_equivalent_full_cycles_ratio,0.3362786360562972,0.4145591317556337,0.40506628676931894,0.502436656040888,0.3909258209530449,0.4335175453609557,0.0,0.349177066850748,0.382258552791083,0.3771300943518792,0.4184271925718549,0.39876120744831717,0.3758955988361024,0.4048860642752107,0.3663994300954619,0.3541648104151315,0.34382630675976533,
building_battery_ratio_to_business_as_usual_throughput_ratio,0.3362786360562972,0.4145591317556337,0.40506628676931894,0.502436656040888,0.3909258209530449,0.4335175453609557,0.0,0.349177066850748,0.382258552791083,0.3771300943518792,0.4184271925718549,0.39876120744831717,0.3758955988361024,0.4048860642752107,0.3663994300954619,0.3541648104151315,0.34382630675976533,
building_battery_total_charge_business_as_usual_kwh,546.6841292977333,419.5786242336035,324.0590276122093,226.7336676865816,395.63055938482285,234.53282356262207,0.17206652462482452,505.04964008927345,410.59713639318943,384.89226300269365,364.0914080031216,438.5362178757787,489.43633261322975,364.17728900164366,459.67049530148506,503.54769314825535,446.5918470621109,
