timestamp,Battery Soc-%,Battery (Dis)Charge-kWh
2024-08-01T00:00:00,0.0,0.0
2024-08-01T01:00:00,0.0,0.0
2024-08-01T02:00:00,0.0,0.0
2024-08-01T03:00:00,0.0,0.0
2024-08-01T04:00:00,0.0,0.0
2024-08-01T05:00:00,0.0,0.0
2024-08-01T06:00:00,0.0,0.0
2024-08-01T07:00:00,0.0,0.0
2024-08-01T08:00:00,0.0,0.0
2024-08-01T09:00:00,0.0,0.0
2024-08-01T10:00:00,0.0,0.0
2024-08-01T11:00:00,0.09028249,0.6488832
2024-08-01T12:00:00,0.09028249,0.0
2024-08-01T13:00:00,0.09028249,0.0
2024-08-01T14:00:00,0.17692228,0.62305
2024-08-01T15:00:00,0.17692228,0.0
2024-08-01T16:00:00,0.27236074,0.6854
2024-08-01T17:00:00,0.27236074,0.0
2024-08-01T18:00:00,0.27236074,0.0
2024-08-01T19:00:00,0.27236074,0.0
2024-08-01T20:00:00,0.27236074,0.0
2024-08-01T21:00:00,0.27236074,0.0
2024-08-01T22:00:00,0.27236074,0.0
2024-08-01T23:00:00,0.27236074,0.0
2024-08-02T00:00:00,0.27236074,0.0
2024-08-02T01:00:00,0.27236074,0.0
2024-08-02T02:00:00,0.27236074,0.0
2024-08-02T03:00:00,0.27236074,0.0
2024-08-02T04:00:00,0.27236074,0.0
2024-08-02T05:00:00,0.27236074,0.0
2024-08-02T06:00:00,0.27236074,0.0
2024-08-02T07:00:00,0.27236074,0.0
2024-08-02T08:00:00,0.27236074,0.0
2024-08-02T09:00:00,0.35599533,0.60171664
2024-08-02T10:00:00,0.45354697,0.70035005
2024-08-02T11:00:00,0.44950867,-0.022700615
2024-08-02T12:00:00,0.6368462,1.3271332
2024-08-02T13:00:00,0.73776954,0.72418445
2024-08-02T14:00:00,0.7485252,0.07827491
2024-08-02T15:00:00,0.7485252,0.0
2024-08-02T16:00:00,0.7485252,0.0
2024-08-02T17:00:00,0.4485097,-1.75
2024-08-02T18:00:00,0.4485097,0.0
2024-08-02T19:00:00,0.4485097,0.0
2024-08-02T20:00:00,0.4485097,0.0
2024-08-02T21:00:00,0.4485097,0.0
2024-08-02T22:00:00,0.4485097,0.0
2024-08-02T23:00:00,0.4485097,0.0
2024-08-03T00:00:00,0.4485097,0.0
2024-08-03T01:00:00,0.4485097,0.0
2024-08-03T02:00:00,0.4485097,0.0
2024-08-03T03:00:00,0.4485097,0.0
2024-08-03T04:00:00,0.4485097,0.0
2024-08-03T05:00:00,0.4485097,0.0
2024-08-03T06:00:00,0.4485097,0.0
2024-08-03T07:00:00,0.4485097,0.0
2024-08-03T08:00:00,0.4485097,0.0
2024-08-03T09:00:00,0.4485097,0.0
2024-08-03T10:00:00,0.62432605,1.2476001
2024-08-03T11:00:00,0.62432605,0.0
2024-08-03T12:00:00,0.7366095,0.8043133
2024-08-03T13:00:00,0.7366095,0.0
2024-08-03T14:00:00,0.7483873,0.08569908
