timestamp,name,Battery capacity,electric_vehicle_soc
2024-08-01T00:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T01:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T02:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T03:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T04:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T05:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T06:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T07:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T08:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T09:00:00,Electric_Vehicle_1,40,0.25
2024-08-01T10:00:00,Electric_Vehicle_1,40,0.40633774
2024-08-01T11:00:00,Electric_Vehicle_1,40,0.5626755
2024-08-01T12:00:00,Electric_Vehicle_1,40,0.7190132
2024-08-01T13:00:00,Electric_Vehicle_1,40,0.83770394
2024-08-01T14:00:00,Electric_Vehicle_1,40,0.83770394
2024-08-01T15:00:00,Electric_Vehicle_1,40,0.6464909
2024-08-01T16:00:00,Electric_Vehicle_1,40,0.3878945
2024-08-01T17:00:00,Electric_Vehicle_1,40,0.30756173
2024-08-01T18:00:00,Electric_Vehicle_1,40,0.27546617
2024-08-01T19:00:00,Electric_Vehicle_1,40,0.46
2024-08-01T20:00:00,Electric_Vehicle_1,40,0.46
2024-08-01T21:00:00,Electric_Vehicle_1,40,0.46
2024-08-01T22:00:00,Electric_Vehicle_1,40,0.46
2024-08-01T23:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T00:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T01:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T02:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T03:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T04:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T05:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T06:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T07:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T08:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T09:00:00,Electric_Vehicle_1,40,0.46
2024-08-02T10:00:00,Electric_Vehicle_1,40,0.55737257
2024-08-02T11:00:00,Electric_Vehicle_1,40,0.6576137
2024-08-02T12:00:00,Electric_Vehicle_1,40,0.7626141
2024-08-02T13:00:00,Electric_Vehicle_1,40,0.84428805
2024-08-02T14:00:00,Electric_Vehicle_1,40,0.84428805
2024-08-02T15:00:00,Electric_Vehicle_1,40,0.8136952
2024-08-02T16:00:00,Electric_Vehicle_1,40,0.8851843
2024-08-02T17:00:00,Electric_Vehicle_1,40,0.6161328
2024-08-02T18:00:00,Electric_Vehicle_1,40,0.53742033
2024-08-02T19:00:00,Electric_Vehicle_1,40,0.52
2024-08-02T20:00:00,Electric_Vehicle_1,40,0.52
2024-08-02T21:00:00,Electric_Vehicle_1,40,0.52
2024-08-02T22:00:00,Electric_Vehicle_1,40,0.52
2024-08-02T23:00:00,Electric_Vehicle_1,40,0.52
2024-08-03T00:00:00,Electric_Vehicle_1,40,0.52
2024-08-03T01:00:00,Electric_Vehicle_1,40,0.52
2024-08-03T02:00:00,Electric_Vehicle_1,40,0.5947974
2024-08-03T03:00:00,Electric_Vehicle_1,40,0.6711929
2024-08-03T04:00:00,Electric_Vehicle_1,40,0.75024277
2024-08-03T05:00:00,Electric_Vehicle_1,40,0.80860394
2024-08-03T06:00:00,Electric_Vehicle_1,40,0.80860394
2024-08-03T07:00:00,Electric_Vehicle_1,40,0.677429
2024-08-03T08:00:00,Electric_Vehicle_1,40,0.53005266
2024-08-03T09:00:00,Electric_Vehicle_1,40,0.3180316
2024-08-03T10:00:00,Electric_Vehicle_1,40,0.30750418
2024-08-03T11:00:00,Electric_Vehicle_1,40,0.38350877
2024-08-03T12:00:00,Electric_Vehicle_1,40,0.27177668
2024-08-03T13:00:00,Electric_Vehicle_1,40,0.24149095
2024-08-03T14:00:00,Electric_Vehicle_1,40,0.27570614
2024-08-03T15:00:00,Electric_Vehicle_1,40,0.26499367
2024-08-03T16:00:00,Electric_Vehicle_1,40,0.28585806
2024-08-03T17:00:00,Electric_Vehicle_1,40,0.30554926
2024-08-03T18:00:00,Electric_Vehicle_1,40,0.54
2024-08-03T19:00:00,Electric_Vehicle_1,40,0.54
2024-08-03T20:00:00,Electric_Vehicle_1,40,0.54
2024-08-03T21:00:00,Electric_Vehicle_1,40,0.54
2024-08-03T22:00:00,Electric_Vehicle_1,40,0.54
2024-08-03T23:00:00,Electric_Vehicle_1,40,0.54
2024-08-04T00:00:00,Electric_Vehicle_1,40,0.54
2024-08-04T01:00:00,Electric_Vehicle_1,40,0.54
2024-08-04T02:00:00,Electric_Vehicle_1,40,0.54
2024-08-04T03:00:00,Electric_Vehicle_1,40,0.54
2024-08-04T04:00:00,Electric_Vehicle_1,40,0.6102948
2024-08-04T05:00:00,Electric_Vehicle_1,40,0.6819313
2024-08-04T06:00:00,Electric_Vehicle_1,40,0.7557967
2024-08-04T07:00:00,Electric_Vehicle_1,40,0.809485
2024-08-04T08:00:00,Electric_Vehicle_1,40,0.809485
2024-08-04T09:00:00,Electric_Vehicle_1,40,0.8338362
2024-08-04T10:00:00,Electric_Vehicle_1,40,1.0
2024-08-04T11:00:00,Electric_Vehicle_1,40,1.0
2024-08-04T12:00:00,Electric_Vehicle_1,40,1.0
2024-08-04T13:00:00,Electric_Vehicle_1,40,1.0
2024-08-04T14:00:00,Electric_Vehicle_1,40,1.0
2024-08-04T15:00:00,Electric_Vehicle_1,40,0.9266094
2024-08-04T16:00:00,Electric_Vehicle_1,40,0.9979327
2024-08-04T17:00:00,Electric_Vehicle_1,40,1.0
2024-08-04T18:00:00,Electric_Vehicle_1,40,0.24
2024-08-04T19:00:00,Electric_Vehicle_1,40,0.24
2024-08-04T20:00:00,Electric_Vehicle_1,40,0.24
2024-08-04T21:00:00,Electric_Vehicle_1,40,0.24
2024-08-04T22:00:00,Electric_Vehicle_1,40,0.24
2024-08-04T23:00:00,Electric_Vehicle_1,40,0.24
2024-08-05T00:00:00,Electric_Vehicle_1,40,0.24
